iter	Passed	Remaining
0	1	143
1	2	132
2	3	129
3	4	116
4	5	111
5	7	111
6	8	113
7	9	111
8	10	110
9	11	107
10	13	107
11	14	106
12	15	104
13	16	102
14	18	103
15	19	100
16	20	100
17	21	98
18	22	96
19	23	95
20	24	93
21	25	91
22	26	90
23	28	89
24	29	88
25	30	87
26	31	86
27	33	85
28	34	84
29	35	83
30	36	81
31	37	80
32	39	79
33	40	78
34	41	77
35	43	76
36	44	75
37	45	73
38	46	72
39	47	70
40	48	69
41	48	67
42	49	66
43	50	64
44	52	63
45	53	62
46	54	61
47	56	60
48	57	59
49	58	58
50	59	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	68	49
58	69	48
59	70	47
60	71	45
61	73	44
62	74	43
63	75	42
64	76	41
65	77	40
66	78	38
67	80	37
68	81	36
69	82	35
70	83	34
71	84	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	92	26
78	93	24
79	94	23
80	95	22
81	97	21
82	98	20
83	99	19
84	100	17
85	102	16
86	103	15
87	104	14
88	106	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	112	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
