iter	Passed	Remaining
0	101	101399
1	104	52023
2	108	36170
3	111	27794
4	115	22950
5	117	19493
6	121	17227
7	123	15353
8	127	13993
9	129	12863
10	133	12042
11	137	11280
12	140	10637
13	142	10039
14	145	9581
15	148	9109
16	151	8771
17	154	8401
18	156	8085
19	159	7810
20	162	7552
21	165	7357
22	168	7145
23	171	6989
24	174	6790
25	177	6655
26	179	6485
27	182	6337
28	185	6208
29	188	6085
30	191	5981
31	194	5876
32	196	5772
33	199	5679
34	203	5605
35	205	5506
36	209	5441
37	211	5358
38	215	5311
39	217	5230
40	221	5174
41	223	5100
42	225	5029
43	229	4980
44	231	4917
45	235	4881
46	237	4816
47	240	4775
48	243	4729
49	247	4695
50	249	4645
51	252	4610
52	255	4558
53	258	4531
54	261	4490
55	264	4451
56	266	4415
57	269	4372
58	273	4362
59	275	4323
60	279	4297
61	281	4261
62	285	4239
63	287	4201
64	290	4179
65	293	4153
66	296	4133
67	299	4100
68	301	4067
69	304	4049
70	307	4020
71	310	4000
72	312	3973
73	316	3959
74	318	3932
75	322	3918
76	324	3891
77	326	3863
78	329	3847
79	332	3828
80	335	3810
81	338	3792
82	340	3765
83	343	3742
84	345	3723
85	348	3708
86	351	3687
87	354	3672
88	356	3650
89	360	3647
90	363	3626
91	365	3608
92	368	3589
93	369	3562
94	372	3550
95	376	3544
96	380	3543
97	382	3524
98	385	3504
99	387	3486
100	389	3466
101	391	3450
102	394	3435
103	397	3423
104	400	3412
105	403	3400
106	405	3383
107	408	3370
108	410	3358
109	413	3343
110	416	3338
111	419	3324
112	422	3316
113	424	3302
114	427	3289
115	430	3279
116	432	3265
117	435	3257
118	438	3243
119	441	3237
120	443	3224
121	445	3207
122	448	3200
123	450	3182
124	453	3174
125	456	3163
126	457	3147
127	460	3139
128	463	3128
129	467	3125
130	495	3285
131	506	3330
132	527	3439
133	537	3472
134	552	3537
135	568	3614
136	577	3640
137	594	3711
138	610	3783
139	620	3808
140	639	3896
141	647	3910
142	657	3937
143	671	3988
144	685	4044
145	694	4065
146	715	4154
147	744	4284
148	751	4294
149	762	4318
150	782	4398
151	795	4437
152	806	4467
153	827	4544
154	833	4546
155	842	4556
156	847	4552
157	850	4533
158	854	4520
159	859	4511
160	860	4485
161	866	4481
162	880	4522
163	896	4572
164	909	4604
165	920	4624
166	929	4635
167	937	4641
168	943	4641
169	946	4623
170	949	4603
171	952	4584
172	954	4564
173	958	4549
174	960	4528
175	963	4510
176	965	4490
177	968	4470
178	971	4457
179	974	4437
180	977	4422
181	979	4403
182	983	4392
183	986	4373
184	989	4357
185	990	4336
186	993	4317
187	996	4304
188	998	4285
189	1001	4268
190	1003	4249
191	1005	4232
192	1009	4219
193	1011	4202
194	1014	4188
195	1017	4172
196	1019	4155
197	1022	4140
198	1024	4125
199	1027	4111
200	1030	4097
201	1035	4091
202	1038	4078
203	1042	4066
204	1046	4057
205	1048	4042
206	1051	4027
207	1053	4011
208	1055	3993
209	1058	3981
210	1060	3965
211	1062	3950
212	1065	3937
213	1067	3919
214	1069	3904
215	1071	3889
216	1073	3873
217	1075	3857
218	1077	3843
219	1079	3828
220	1082	3814
221	1085	3802
222	1087	3788
223	1090	3776
224	1092	3762
225	1094	3749
226	1097	3738
227	1100	3725
228	1104	3718
229	1107	3706
230	1110	3695
231	1112	3682
232	1116	3673
233	1118	3661
234	1121	3650
235	1124	3638
236	1127	3629
237	1129	3617
238	1132	3605
239	1135	3594
240	1137	3582
241	1140	3571
242	1142	3559
243	1145	3549
244	1147	3535
245	1148	3521
246	1151	3510
247	1155	3504
248	1159	3497
249	1161	3485
250	1165	3477
251	1167	3465
252	1170	3454
253	1172	3443
254	1173	3429
255	1177	3421
256	1179	3410
257	1182	3400
258	1185	3391
259	1187	3380
260	1191	3373
261	1194	3363
262	1197	3355
263	1199	3344
264	1201	3333
265	1204	3323
266	1207	3314
267	1210	3306
268	1213	3296
269	1216	3289
270	1221	3285
271	1223	3275
272	1228	3271
273	1230	3261
274	1234	3254
275	1236	3243
276	1238	3232
277	1240	3221
278	1243	3212
279	1247	3208
280	1250	3200
281	1253	3192
282	1256	3183
283	1260	3176
284	1262	3168
285	1266	3162
286	1269	3153
287	1272	3145
288	1275	3137
289	1278	3130
290	1281	3121
291	1285	3116
292	1287	3107
293	1291	3101
294	1295	3094
295	1297	3086
296	1302	3082
297	1304	3073
298	1308	3067
299	1310	3057
300	1313	3050
301	1316	3042
302	1319	3034
303	1321	3026
304	1324	3019
305	1328	3011
306	1332	3007
307	1334	2998
308	1339	2994
309	1341	2985
310	1344	2979
311	1347	2970
312	1351	2966
313	1354	2958
314	1358	2954
315	1361	2947
316	1365	2942
317	1370	2938
318	1372	2930
319	1376	2925
320	1378	2916
321	1381	2908
322	1384	2901
323	1386	2892
324	1390	2887
325	1392	2879
326	1396	2873
327	1399	2866
328	1402	2860
329	1405	2852
330	1408	2846
331	1410	2838
332	1413	2830
333	1416	2824
334	1418	2816
335	1421	2809
336	1424	2802
337	1427	2795
338	1429	2787
339	1432	2780
340	1435	2773
341	1437	2766
342	1440	2758
343	1443	2753
344	1446	2747
345	1449	2739
346	1453	2734
347	1455	2726
348	1458	2719
349	1459	2710
350	1461	2703
351	1465	2698
352	1468	2691
353	1471	2685
354	1473	2678
355	1477	2672
356	1479	2665
357	1483	2660
358	1485	2652
359	1487	2644
360	1490	2638
361	1492	2630
362	1495	2625
363	1498	2617
364	1500	2611
365	1503	2604
366	1506	2598
367	1509	2591
368	1514	2589
369	1516	2582
370	1519	2576
371	1521	2569
372	1523	2561
373	1525	2552
374	1527	2546
375	1530	2539
376	1532	2532
377	1534	2524
378	1535	2516
379	1539	2511
380	1541	2504
381	1543	2496
382	1545	2490
383	1547	2482
384	1549	2475
385	1552	2469
386	1555	2463
387	1559	2459
388	1561	2452
389	1564	2447
390	1567	2440
391	1569	2434
392	1573	2429
393	1575	2423
394	1578	2418
395	1581	2412
396	1585	2407
397	1587	2401
398	1591	2396
399	1593	2390
400	1597	2386
401	1600	2380
402	1604	2376
403	1606	2370
404	1610	2366
405	1613	2360
406	1616	2354
407	1618	2348
408	1621	2342
409	1623	2336
410	1626	2330
411	1629	2325
